,A01_01,A02_01,A02_02,A02_03,A02_04,A02_05,A02_06,A02_07,A02_14,A02_17,A03_01,A11_01,A23_01,A24_02,A26_01,A26_02,A26_03,A29_02,A30_01,A30_02,A30_03,A30_04,A31_01,A32_01,A33_01,A33_03,A66_01,A68_01,A68_02,A69_01,A74_01
A01_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_01,14.574821435582184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_02,14.701325741773596,7.230826802475795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_03,17.058611015203937,10.14058245739601,10.536400454713771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_04,14.266202420013046,6.4891872599215,8.298733576840382,10.908443740185241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_05,14.833419290840482,8.18318954040165,8.467514435247173,12.11846732032192,9.179081676986563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_06,16.637395979415828,9.844790954043756,9.875992180941406,8.085448531118107,9.999794502687589,11.112656049597783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_07,16.764205810773873,12.025094954452747,12.357103285167895,10.84506332266259,12.594730751670728,10.931223701354456,10.520177876312461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_14,14.60272017690999,8.092070266100086,7.939689587812215,11.821986074916381,9.240422401085125,3.9755888199637135,10.300528495769326,10.706286805787544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_17,14.430625187096313,8.342094753045759,7.709080488326107,11.070359919154923,6.083701832474983,9.699955756346924,10.55695719963892,12.65794332487223,9.055982805921516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03_01,11.718320048152162,15.476245908624668,15.625516380854894,14.12195053642046,15.183154554141858,15.623184771447677,14.635350369587178,15.13609280948071,15.526713843111306,15.18501525636988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11_01,10.89166825414707,15.623852178813413,15.631928761665742,16.519926344661343,15.380701459116754,15.408140738230065,15.603474693510023,16.842469227885154,15.19089727360664,14.831228785801638,11.10983623337379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A23_01,15.912135906190274,15.421959458422354,15.774711059878738,17.98619337395123,14.739866945226098,14.323779522192156,17.179074249149846,17.371150694168616,14.503753804716148,15.043471826500452,17.4104059546381,17.20859329369848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A24_02,16.560584673404268,16.163756302684895,16.53206211145746,17.297116493056055,15.970900575605157,15.645752251951068,16.80903796356845,16.934353758885447,15.680219724748804,15.89443699065605,16.743996627141495,17.554224090469148,8.435065371348683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_01,10.829009898368732,14.742828935647225,14.745886204466004,16.49371789090932,15.041936565992783,14.499057407156679,16.006729061021222,16.42944900033932,14.381277898917013,15.316957032545076,12.223965080787403,12.629648750948567,16.858821123646063,17.28807738295996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_02,11.747982304487014,14.326806801634504,14.538115352295852,16.43490786038043,14.678886259240597,13.895994906632279,15.80805919927958,16.673514853884985,14.063134407322421,15.148044692486964,12.551985267334231,12.64786774251987,16.26347188100117,17.12777757780655,5.855517853508924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_03,13.322755760138746,13.517174689107794,13.8152493777215,14.985236774093499,13.985943379790175,12.541009295529019,15.062548868666434,15.073815903998952,12.74014971748408,14.0325473351921,13.769329992287107,13.414888379052261,17.505131598350232,17.768047391481936,9.1109625510906,9.853736860778064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A29_02,14.431476605833753,16.88618144868993,17.5373139230561,16.461766902643006,16.57547037639701,17.473642567598084,16.344329733873852,17.317221712130024,17.427542082593313,16.875862974749733,12.617996455884935,14.886298230631112,17.683733895703085,16.830825783901943,15.187756208833807,15.33326649471519,16.064288963076503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_01,13.696772927605839,16.478826802381462,16.37387547660885,15.571158358360197,16.32649080046279,15.984333312360613,15.490502636477638,15.84629600508043,15.85054416858849,16.3745530766122,8.667681531088533,13.149548165236403,15.930600127606104,15.38307192020216,14.258540387311688,14.146812393943874,15.718596625627363,12.332640633000931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_02,15.542195367065924,17.571512878817792,17.285703606761977,16.192508315179722,17.522409333394013,17.0196961267946,15.854311040702381,16.349967302431192,16.52711250555729,17.226090559362152,12.951968022331478,14.66085247648528,17.51385325403319,16.6334009039509,15.89281334687396,15.950333703658702,16.892895651245837,15.616438375383577,11.02540743735213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_03,14.04238639693226,17.040869068575827,16.896684587057344,15.6744601205139,16.730944341631194,16.38262868456908,15.497248086799186,15.953368958749536,16.234721509496918,16.527637978345155,10.23124137435078,12.629980003995955,16.135516123894458,15.212721640746741,14.399560512997532,14.401810470465119,15.795260386483038,13.00959578412345,6.563880557734033,11.049780123151814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_04,14.192151092179953,16.96217759649523,16.90481440912844,15.512561715266525,16.586983273421893,16.32094010108903,15.504288359102299,16.070563550843595,16.32276862771125,16.489656212492772,9.990782033755035,12.8128203671427,16.131271650141617,15.23941393862577,14.367120769899017,14.336095225666684,15.707833459539462,12.945549490086934,6.876917206144952,11.636572493695677,3.694343015092882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A31_01,14.046322564636784,16.3796787010626,16.41784182232003,15.873384957734276,16.090874906187132,16.44086584659369,14.325432651922846,16.455928553481034,16.406913008088186,16.07267742240558,11.067123181752677,11.274828277188634,16.85603475505903,16.155914683106932,14.806094548307891,14.45595662473009,15.858902073754809,11.99801493067453,10.50408753415368,13.339521752823076,9.89428477101404,9.84259488077851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A32_01,12.161760654707866,16.020822742002537,15.89498577961288,17.777370985484445,15.655975339555681,16.426855606353367,17.45579720465358,17.92004553564547,16.33652882993721,15.768459378439458,13.594383609581735,12.54857341812343,15.089087612147834,15.208830190695064,13.950001060505718,14.295575399637542,15.56591724450088,16.316272174838662,15.32479457919422,17.386219148648564,14.354177818096836,14.175864375677095,13.60444701013637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A33_01,14.729249171470654,17.183648778942185,17.17390223045427,16.608329090230846,16.96264198211607,17.242675615570878,15.17788978862091,17.080685563856647,17.15293640122268,16.78260267727058,12.34193428290998,12.176535704887666,17.867592128408223,16.796347805189203,13.966620707793176,14.041141415301592,15.336082772576418,11.996889725282879,11.816757822732797,14.126658655466995,11.101540674231623,11.205995419933828,5.73575913370501,14.594837930159397,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A33_03,15.424455954014853,17.23924660168646,17.385321630211052,15.248637334623282,16.961924368336177,16.89927950826277,16.39151981750542,16.490308864856072,16.751770835104697,16.77324973351169,10.715422292642419,14.401176950778817,17.332575715622692,16.82691598936155,13.560878641769209,13.227509108210786,14.448531464291976,12.692463000230504,11.260559041431172,13.131133044024754,11.853423846060082,12.078751148229504,11.851503994129324,16.897857556771495,11.499225114722908,0.0,0.0,0.0,0.0,0.0,0.0
A66_01,11.940450365924235,14.310366800120685,14.400249490429477,16.65372180635807,14.76106957235143,14.01336478017464,15.846376929603952,16.75193393571055,14.017371570116248,15.147613095655574,11.523873270581761,12.129203270442666,16.769856697056795,17.565977332522934,6.385295552248717,5.634213063503902,9.87256513950808,14.89479218438198,13.443550599852216,16.33430500341549,14.523256706883807,14.385932923420702,14.095134601988715,14.09429161771758,13.596681864321626,13.26873560027436,0.0,0.0,0.0,0.0,0.0
A68_01,14.19346118863791,17.182031010122348,17.148531636022092,15.965883002199414,16.795572309961997,16.675823623817404,15.104503082826287,16.342968660139366,16.680349861551576,16.36846173643362,10.156396116925741,10.327681519756185,18.527296105196278,17.85716824318933,12.193977498919399,12.617763539537505,13.518801136723742,14.00855014752952,12.675926941710085,14.56260463488939,12.289085229025318,12.16402551213089,11.389051465367913,14.90448884092563,10.532916462715328,11.72253747156371,11.944185027080502,0.0,0.0,0.0,0.0
A68_02,12.71825472845543,13.804714066799468,14.184930754420355,15.88424532383205,14.002519999115107,12.510959744990107,15.306627757418033,15.24708570441268,12.583673611434365,14.104608917634703,12.987204213741503,12.797948970398542,15.822481327481594,16.57076047235883,9.400322662281345,9.125272604845884,11.155935156907349,15.611421999438306,13.791896224889188,16.042873817263395,14.517852081116063,14.348041790051157,15.03122076071552,14.7573049623299,14.391677493420733,14.090426575315469,8.568977612059655,12.088137273558639,0.0,0.0,0.0
A69_01,15.160087257473462,14.937674415621395,15.342464190918273,14.39506401377473,15.376340983043242,14.630896517418966,13.509678646315997,14.574507589346451,14.597143226835339,16.35373253228391,11.507650875409544,14.92334952678825,17.372307737860044,16.87846894653565,12.734035118262705,12.104200861063669,14.95358469660509,13.882135581787136,11.769265702178437,15.460951237693099,13.280502033839268,13.15833886724043,13.703248040122812,16.316128244604432,13.321695570031935,13.201891368248111,11.170867161585273,12.55254879767648,11.27631571009376,0.0,0.0
A74_01,12.253893126956278,14.8059355297089,15.204522005196496,13.795549278215804,14.375359812920598,14.718247030727685,14.256261558433946,14.65809627307307,14.938097927926409,14.609612943746543,6.376231618923843,12.039341766580678,16.39816535893165,15.900917936007584,12.30654952489377,12.095356439927523,13.425046503124507,12.006859019877103,9.984689463698352,13.983168300148202,11.196935142704513,10.993620226109519,11.080390404651622,14.131573669650804,12.373874469902235,9.947179904259258,11.839866467941484,10.558454842183249,13.223458778637472,11.529435212897607,0.0
