,FileName,qstart,qend,length
0,4LNR_A.pdb,2,180,179
1,2AXG_A.pdb,2,180,179
2,1ZHK_A.pdb,2,180,179
3,3MV8_A.pdb,2,180,179
4,2H6P_A.pdb,2,180,179
5,3MV7_A.pdb,2,180,179
6,3LKS_A.pdb,2,180,179
7,4PR5_A.pdb,2,180,179
8,3LKN_A.pdb,2,180,179
9,3LKQ_A.pdb,2,180,179
10,2CIK_A.pdb,2,180,179
11,2NX5_A.pdb,2,180,179
12,4PRA_A.pdb,2,180,179
13,3LKP_A.pdb,2,180,179
14,1A1N_A.pdb,2,180,179
15,1XH3_A.pdb,2,180,179
16,2FYY_A.pdb,2,180,179
17,4QRR_A.pdb,2,180,179
18,1A9E_A.pdb,2,180,179
19,3LKR_A.pdb,2,180,179
20,1ZSD_A.pdb,2,180,179
21,3LKO_A.pdb,2,180,179
22,1A9B_A.pdb,2,180,179
23,1CG9_A.pdb,2,180,179
24,3MV9_A.pdb,2,180,179
25,4PRP_A.pdb,2,180,179
26,4PRN_A.pdb,2,180,179
