,A01_01,A02_01,A02_02,A02_03,A02_04,A02_05,A02_06,A02_07,A02_14,A02_17,A03_01,A11_01,A23_01,A24_02,A26_01,A26_02,A26_03,A29_02,A30_01,A30_02,A30_03,A30_04,A31_01,A32_01,A33_01,A33_03,A66_01,A68_01,A68_02,A69_01,A74_01
A01_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_01,34.908798433174205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_02,41.807958970148974,12.266864233945352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_03,37.849945381244844,11.739823040255684,14.181944926653303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_04,36.381326208062355,7.817384629305951,14.634013361543586,15.203920277971331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_05,42.61166587457633,12.783565694338666,8.419856995529724,13.200840692200902,16.182998963842802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_06,35.59017317334428,8.507157147633588,13.84004201321063,10.129330054294229,12.338567673860025,12.986659004141634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_07,31.77940808274929,16.091413775189835,20.271514177461277,22.43184519858403,16.226444801808025,20.614979371911105,17.59574739087728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_14,38.938989614854584,9.916019048045907,9.010397332650548,12.566302666594432,14.020493976510199,7.114974745715996,9.92070539993374,17.912940939969584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_17,38.291012299021155,12.491264319139905,14.5875591594934,18.4506993628479,9.126532330793355,18.542719607490593,17.06873564821583,18.215282359411486,16.59452331817868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03_01,14.74765323701,37.74773090212492,45.405277640722694,39.347834991941234,39.08062039403069,45.6560709335473,37.425002117334,35.312795678574,42.186636513917634,41.82690466698233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11_01,11.230940027175555,36.70840741853664,43.575736483087255,38.67271820243657,38.58040209823047,44.08231700673399,36.82961258111285,34.01790836213577,40.642169873726026,40.96736704318186,12.48500820272586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A23_01,20.142021299462268,35.78087415250526,41.352928498128335,41.09768981276635,35.63737759843005,43.23597668938415,37.78129843638445,29.185898795150834,39.69757304032675,35.9514206691269,23.558230659227654,23.075366835852893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A24_02,20.127241973849507,33.59620943949811,39.58645424728826,38.8324534339454,33.050128886384904,41.36642358760551,35.40465969978932,27.254055463963486,37.87152740345568,33.60203572236096,22.934094829007943,23.298703931853534,7.7254944764452995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_01,19.699654431780484,38.683760348204615,45.133506254124825,39.0785540636461,42.00087918529679,44.17431877946735,37.37077512480156,37.45737607701534,41.15195350163206,45.720864948699024,19.120538047639123,14.414894061925697,32.2957638147033,32.7194465773808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_02,21.581061106600213,40.03534797085557,45.61899569882569,42.023550082396504,43.3430462193404,44.66252059862314,39.26739505398085,35.666008161692126,41.82625780143524,46.52848217547002,23.874075298434004,17.312453765024152,30.431675894020692,31.682296959224875,12.451164537165855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_03,19.823944465755133,32.03937054272124,37.202515472977765,32.15065922987592,35.787597532741934,36.36787658479297,30.94294154951081,31.262976208109095,33.644657822567616,38.84301602964574,22.10455867604814,16.233588668307814,30.471374394002076,30.714610350544476,11.080626634781975,13.943907493749851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A29_02,19.537622560211563,42.834539802587784,50.52624809636929,44.23178011062132,44.98611448345549,49.84259049147271,41.56971778083071,39.770848724117116,46.42446514588361,48.54559393546853,14.218226932929936,17.388788542917947,29.751014892215977,29.77397470848552,16.16389871695691,20.407291703846525,22.159434139825308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_01,15.367575149750865,36.96176407708584,44.26177396569693,39.554261429824514,38.635097528620264,43.97832282954339,36.92566317382331,32.553091829133706,40.610154663501625,41.47252041108964,11.466915627791996,13.012580833038847,21.902906492662748,22.32838434307915,17.46833874382242,19.095943223119402,19.991691118677597,14.264203857795254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_02,18.790571721187156,43.74603438360579,49.93902269634662,46.956287835241305,45.616859529607034,49.933893648160684,43.51360806211724,36.99414191090702,46.4413894969858,47.78297260668528,19.25123600319803,17.157620648781478,23.48779203180853,25.28695737493708,20.30963221172466,16.93843018942495,23.068798695452866,17.649740081256738,13.399093884920859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_03,22.567976451725983,48.36574431673421,55.95876931847371,51.65156259590115,49.672737746022534,55.562874740865134,47.91078286888639,41.54425050943226,51.970087639443356,52.60236404467377,18.975394920103074,21.023879329704414,27.23757595330514,28.122676725426746,24.151351502191964,23.1598089280845,29.421650090683627,16.161380318335706,15.698931596725325,12.628613214938156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_04,17.718101619927825,38.81479122697437,46.7479143385366,41.34000990702747,40.21847886016205,46.12786941021651,38.22671885506437,33.522757579115954,42.74465040503623,43.48791359878412,12.381538530303038,15.80578476609604,24.407755047288866,24.1566972989347,19.096524572291113,20.209221803278393,22.386404259041413,13.06208874439925,9.080371628143192,14.464378003879798,12.674699915740858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A31_01,14.402059587104647,34.880943726841274,41.48707811641987,36.742202643176,36.836075953479245,41.821142648428356,34.70180305867576,32.335263806653046,38.48339069484573,39.23041670356712,10.660259527815317,11.590566322157754,22.13029457547277,22.667822074049933,16.767781164670723,19.278851398348714,17.43212146718271,16.22670290919616,10.471144016645143,16.760292807615162,21.2291183709003,13.883232511612073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A32_01,18.147567031058383,32.969991659363764,37.2169246030521,35.90499828266498,34.29509846719084,38.898575115544624,34.72673096772825,29.013462908524176,36.08605987481262,34.458330550972306,22.273012231246124,18.568361293307714,17.37501487191532,19.24351833627684,26.532292256850848,25.158611270401185,22.24744652286883,28.794243878920152,20.638400085145502,23.98890460022382,30.510093215817758,24.745071205481235,17.638337876712477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A33_01,17.557039873682655,40.7740146252264,48.43576950199707,43.32166006795289,42.455650376527494,48.08424220069672,40.07733607426604,36.76542748673733,44.53456753436265,45.63732464328835,11.658018808007062,15.750216079960575,24.32088644055935,24.348697889697963,18.4036835466612,20.737610621471475,22.50032563232598,10.484945012770078,11.468956020670364,15.06018320575086,13.88376675490818,10.893268132341476,12.918702231180665,25.348768159253176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A33_03,19.43809818083051,41.38331382153712,47.54739606027374,45.26077725994122,42.524636008554765,47.753588909048425,41.64642365047153,33.444283608622236,44.39595634155165,44.364827139608295,18.49900641893914,18.515456865247444,19.31089252121298,20.852412175440215,23.991614243723834,20.68608784544515,25.068018342366983,19.629014875505227,13.438577331941069,11.104607391783027,14.569480756786135,14.654951204360707,16.399122060816744,21.24971439810835,14.666532428726548,0.0,0.0,0.0,0.0,0.0,0.0
A66_01,19.388662420681506,39.31659244523111,45.24927282569265,40.15985535355263,42.54466642730504,44.49601057310822,38.52975662914781,37.170275217422066,41.70779146690424,45.756163642502784,19.847614673786993,13.084720282843762,30.713089058300202,31.599813476073475,7.973134607108796,9.304856984689229,11.43762728663918,18.65677015182587,17.074206556638963,18.57388534512415,23.902103650160818,19.375113951247968,15.890968289595143,23.78141958275545,19.293108851976832,22.255098507442824,0.0,0.0,0.0,0.0,0.0
A68_01,17.364002590621883,26.737947434650188,34.24806660698365,28.71276893728437,29.157651152290082,33.481589506953384,25.757321045867705,23.971819161545376,30.282135683389136,33.0072897447718,16.85319926314992,16.54578488133699,24.481224676713904,23.041358828585548,17.826843557987146,19.946557745904016,15.4469197523686,19.568163245144675,16.259578257503584,22.30410240054368,25.515793689128117,16.40847761786526,15.437165951655913,22.078483631612112,17.795499727330146,21.332654660485037,18.931106628944654,0.0,0.0,0.0,0.0
A68_02,23.37124199647285,19.2968451781805,23.566543963753293,22.55599692464845,21.627540550127843,23.777881892088338,19.94294854020592,15.261032671600889,21.169616562949315,23.92477776466604,27.983167283546695,24.42357138584966,25.44376992452773,24.27722800784245,27.349530422836626,26.005240118530306,20.106566525302867,32.18298886536964,25.46063141874401,30.018988129192422,36.12513563490974,27.618102690129213,23.838519004543244,20.43674242792151,29.88056807384118,27.992697977171257,26.485352441398724,15.93701547439551,0.0,0.0,0.0
A69_01,28.289199778381892,19.05956049996716,24.930587486003198,20.783801841599274,23.147697104326866,22.49449415285992,16.78983615800788,20.275476770931803,19.776928793037527,28.330661802318144,29.86956042096567,27.895532846364453,33.58809199305824,32.13546495885778,25.395611692449734,26.474471889157854,20.114507233643387,31.246475645631158,27.089011267626777,32.78719505598083,37.51377953448219,28.556055478955678,26.29481180275744,29.24850386085835,30.585811055754533,32.39514410012364,26.371105879997117,16.80163077012899,15.340096254203651,0.0,0.0
A74_01,13.713261052209793,36.75879442316474,44.74617619443389,38.939598749066604,37.902585874228095,44.96811314798577,36.829540403554596,34.25199497346453,41.43274752665861,40.64608497774197,7.2430624653851625,12.581888961009632,22.977236983982085,22.71370106128763,19.275963089463875,23.399852200999995,22.06275442980276,14.557356579921752,11.454553727206406,19.322571910556025,19.288544548502795,12.519449358715441,10.620227662838253,21.493510491750534,12.34059808140368,18.112252810180706,19.901874332699347,17.206469750362917,27.345368282744595,29.58033118769432,0.0
