,A24_02,A68_01,A74_01,A23_01,A02_06,A31_01,A26_03,A30_04,A30_03,A26_01,A02_17,A30_01,A69_01,A30_02,A02_14,A29_02,A01_01,A32_01,A26_02,A33_01,A03_01,A02_07,A33_03,A11_01,A02_01,A02_03,A02_05,A68_02,A02_02,A02_04,A66_01
A24_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A68_01,0.8688713023689165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A74_01,0.7981449694439382,0.5061719689146872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A23_01,0.29335389018579755,0.8520444710228039,0.7565350033663694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_06,0.7863656771998775,0.6827167283518324,0.6120145551584858,0.7418594292468238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A31_01,0.742322938059756,0.5969869366536639,0.36162802501747715,0.6994160912534048,0.6868825810436712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_03,0.9814366767557108,0.542004383516116,0.6805149180587842,0.9957462407317995,0.6968364485369769,0.7412941277111114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_04,0.6572453183030978,0.6809311974978947,0.6626307650040107,0.6431260369035551,0.7381723511651257,0.5684724014778559,0.8029461323501172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A30_03,0.7168451643035456,0.7781845541344703,0.7046566443010102,0.694403176640205,0.7783449434473101,0.6183427356433823,0.8193078420398731,0.3866423758459758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26_01,0.9546529704883484,0.5205550805136407,0.6696557319827126,0.9696071038808233,0.7652277684932077,0.7242431208868106,0.30594149614155763,0.7690155971294957,0.7850545387209222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A02_17,0.7402984943420479,0.6910646053533563,0.553657722019415,0.6761587223544049,0.3989121999455792,0.6757968941325034,0.8081909555819872,0.7470444447807638,0.7936852160090191,0.8685517400654794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
