Allele,pLDDT,pTM
A01_17,88.98568914956013,0.71
B44_151,96.20802197802197,0.81
B40_02,90.13902366863904,0.71
B18_07,89.73458579881657,0.71
C16_01,89.07415204678362,0.71
B40_36,96.06883977900551,0.83
A03_02,88.99099706744867,0.7
B51_76,96.2668508287293,0.83
B44_06,89.86914201183433,0.71
B15_15,89.85550295857988,0.71
A24_242,95.87629834254145,0.83
A30_04,88.92369501466274,0.71
B35_06,90.28727810650886,0.71
C15_03,89.3497076023392,0.71
B40_121,95.49055248618785,0.83
B15_32,89.96449704142013,0.71
B15_11,89.90428994082839,0.71
B35_77,89.80961538461538,0.71
B08_05,96.30878453038673,0.83
A33_01,89.62043988269795,0.71
A02_06,89.15642228739001,0.71
A43_01,89.25319648093843,0.71
B15_13,89.95668639053254,0.71
C04_01,89.16722222222224,0.71
B07_35,95.60966850828729,0.83
C04_04,89.17055555555555,0.71
B14_03,90.01908284023669,0.71
C06_04,88.88730994152047,0.71
B35_25,89.9396153846154,0.71
A36_01,89.1025513196481,0.7
A24_28,89.10592375366569,0.71
C03_04,89.38423976608188,0.71
A24_51,95.2985714285714,0.83
A32_01,89.04469208211142,0.71
B51_02,89.8030473372781,0.71
B41_03,89.90520710059171,0.71
A02_19,89.32586510263928,0.71
B15_20,89.8108875739645,0.71
B35_68,95.77535911602207,0.83
C15_07,89.3657894736842,0.71
A68_30,89.05797653958946,0.71
A31_08,89.09434017595308,0.71
C08_02,89.23274853801169,0.71
A31_04,89.16351906158357,0.71
B35_18,95.77132596685084,0.83
B44_10,89.8692899408284,0.71
A80_01,89.33266862170088,0.7
A24_06,95.94524861878452,0.83
C03_15,95.61834254143645,0.83
A02_44,89.5375366568915,0.71
C17_01,88.13729885057472,0.71
A24_02,89.20976539589442,0.71
B40_01,89.92627218934912,0.71
C08_72,96.33674033149171,0.84
A66_01,89.27181818181818,0.71
B15_93,89.82289940828402,0.71
C07_07,89.27754385964911,0.71
C04_03,89.27590643274854,0.71
B51_05,89.71680473372781,0.71
B47_01,89.62488165680473,0.71
B78_03,96.24022099447514,0.83
A02_14,89.45369501466277,0.71
A24_20,88.87844574780058,0.71
C06_02,89.3077485380117,0.71
C06_03,96.29441988950273,0.83
B56_05,89.70440828402367,0.71
A24_23,89.1016715542522,0.71
B27_08,89.93860946745562,0.71
A74_01,89.28208211143696,0.71
C02_03,89.31213450292398,0.71
B07_05,89.84494082840237,0.75
C03_06,89.03087719298244,0.71
A68_06,89.43392961876833,0.71
B07_105,96.08353591160223,0.83
B47_03,89.75866863905325,0.71
C04_06,89.08429824561404,0.71
B44_15,89.76819526627219,0.71
A31_29,96.12208791208792,0.81
A02_03,88.99926686217009,0.71
B15_16,89.69884615384615,0.71
B14_05,89.84310650887575,0.71
A11_04,89.47064516129032,0.71
B35_09,89.80056213017751,0.71
C18_02,89.31570175438596,0.71
C15_05,89.01900584795321,0.71
B51_19,89.6662426035503,0.71
A02_48,89.53129032258066,0.71
A23_17,89.02425219941348,0.71
C17_03,88.13729885057472,0.71
C03_02,89.16184210526316,0.71
B35_10,89.811775147929,0.71
B15_18,90.1766272189349,0.71
B48_04,89.48464497041421,0.71
B07_75,90.03372781065089,0.75
C18_01,88.83245614035089,0.71
A11_05,89.03287390029325,0.71
A30_03,88.9775953079179,0.71
B15_67,89.86207100591716,0.71
C05_09,88.76573099415204,0.7
B40_23,89.8208579881657,0.71
B35_36,90.18059171597633,0.71
B18_05,89.76275147928995,0.71
C01_03,89.00350877192983,0.71
B35_19,89.83920118343195,0.71
B35_13,89.90346153846154,0.71
B15_08,90.05494082840238,0.71
B27_06,89.80538461538461,0.71
A68_02,88.95571847507331,0.71
A02_16,89.4266862170088,0.71
A02_46,96.4092857142857,0.84
B39_09,90.01828402366864,0.71
A02_11,89.28677419354838,0.71
B39_54,95.8974585635359,0.83
B55_15,96.26834254143647,0.83
B51_15,95.8042541436464,0.83
B41_01,89.95526627218935,0.71
B15_07,89.77884615384616,0.71
A02_08,89.10263929618769,0.71
B41_23,95.8232596685083,0.83
C12_03,89.4903216374269,0.71
A01_03,88.99043988269796,0.71
A29_25,96.45569060773478,0.83
C08_06,87.9264619883041,0.6
B53_03,95.80160220994473,0.83
B51_07,89.79502958579882,0.71
B07_96,96.11546961325968,0.83
B35_14,89.73917159763313,0.71
C02_09,96.00889502762432,0.83
B40_11,89.96091715976331,0.71
B15_37,89.90304733727811,0.71
B44_04,90.01813609467455,0.71
A30_01,88.86313782991203,0.71
B40_09,96.7975824175824,0.81
B38_02,89.82047337278107,0.71
C15_10,96.48662983425412,0.83
A24_14,89.01956011730205,0.71
B57_01,89.77316568047338,0.71
C15_09,89.48245614035088,0.71
B14_01,90.08263313609467,0.71
B56_02,89.84831360946745,0.71
C14_02,89.15181286549706,0.71
A02_12,89.23947214076246,0.71
B14_02,90.14976331360947,0.71
A68_03,89.24126099706744,0.71
C07_18,88.9506432748538,0.71
A02_02,89.32357771260996,0.71
B35_21,89.9614201183432,0.71
B15_17,89.99236686390532,0.71
C08_04,88.93239766081872,0.7
B48_01,89.73437869822486,0.71
B15_58,90.19982248520711,0.71
B55_01,90.0662721893491,0.71
C04_43,95.4621546961326,0.82
A11_01,88.93574780058651,0.71
C07_04,88.91906432748537,0.71
B40_05,90.0965976331361,0.71
B46_01,90.19603550295858,0.71
B15_46,96.2684306569343,0.82
A24_143,89.07149560117301,0.71
C08_03,87.63271929824562,0.6
B18_02,89.66639053254437,0.7
C01_06,89.1196783625731,0.71
C07_02,88.94991228070175,0.71
A34_02,89.45067448680352,0.71
C08_13,88.78973684210527,0.7
C03_07,89.18906432748537,0.71
A11_170,93.33492012779553,0.75
B15_31,89.99653846153846,0.71
B40_16,89.63834319526627,0.71
C07_31,95.9811049723757,0.83
B50_01,89.84275147928993,0.71
B42_02,90.21914201183432,0.71
C07_19,89.12093567251462,0.71
B44_05,90.13508875739646,0.71
C03_03,89.18883040935673,0.71
B27_02,90.05887573964498,0.71
C14_04,88.87058479532163,0.71
A01_01,88.91152492668621,0.71
C15_04,89.39733918128655,0.71
A69_01,89.6067448680352,0.71
B40_07,89.97875739644971,0.71
A30_02,89.04970674486803,0.71
A32_04,89.1398826979472,0.71
B18_03,90.01884615384616,0.7
A31_02,89.40521994134897,0.71
B35_20,89.87973372781065,0.71
B53_01,89.8971301775148,0.71
B57_25,96.39723756906078,0.83
A02_197,89.66642228739003,0.71
B58_06,96.07204419889503,0.83
B44_08,89.88292899408285,0.71
B35_12,90.07902366863905,0.71
A23_01,89.21868035190616,0.71
A02_01,89.0991202346041,0.71
B52_01,90.0001479289941,0.71
B38_01,89.91044378698226,0.71
B51_06,89.91476331360947,0.71
B56_43,96.22197080291971,0.82
B15_39,89.95295857988167,0.71
A32_02,88.57826979472141,0.71
B81_01,89.35082840236686,0.71
C03_16,89.14532163742689,0.71
A26_01,89.11944281524927,0.71
A02_20,89.55563049853372,0.71
B13_04,89.77094674556213,0.75
B40_06,89.7030177514793,0.71
A31_01,89.58850439882698,0.71
B40_268,93.96405750798722,0.75
C02_02,89.49026315789473,0.71
B40_10,89.81115384615384,0.71
B41_02,89.67372781065089,0.71
C06_06,88.95938596491229,0.71
A33_18,96.58082872928175,0.83
B35_61,96.49535911602212,0.83
B58_01,89.84585798816569,0.71
A66_03,89.70102639296188,0.71
B44_29,89.75547337278105,0.71
B35_16,89.80970414201184,0.71
B18_09,89.6676923076923,0.7
A24_05,89.22826979472141,0.71
A26_12,89.29548387096774,0.71
A24_04,88.82434017595307,0.71
B51_01,89.9002071005917,0.71
C04_15,95.42823204419886,0.82
C15_02,89.32190058479532,0.71
B39_04,90.2089053254438,0.71
C12_07,96.35077348066297,0.83
B39_06,89.88659763313609,0.71
B40_38,95.49104972375692,0.83
B44_07,89.8868047337278,0.71
B07_08,90.12349112426035,0.75
C08_01,88.78713450292398,0.71
C07_01,89.11473684210526,0.71
B08_04,95.7078453038674,0.83
B14_11,95.58961325966851,0.82
A32_106,89.04469208211142,0.71
A29_01,89.01953079178885,0.71
A24_08,89.09812316715542,0.71
B13_01,89.85281065088758,0.75
A33_03,89.27222873900294,0.71
C05_01,88.81488304093568,0.71
B35_08,89.89295857988165,0.71
B59_01,89.70127218934911,0.71
C02_10,89.24970760233917,0.71
B78_01,89.7951775147929,0.71
B40_49,96.25190476190477,0.81
A01_36,95.59364640883976,0.83
B27_01,89.59754437869822,0.71
B15_23,89.80130177514793,0.71
A24_41,89.07422287390028,0.71
B18_04,89.61139053254438,0.7
B44_27,89.94914201183431,0.71
B57_05,89.94707100591717,0.71
B07_07,89.84047337278106,0.75
C03_19,89.11570175438597,0.71
B39_07,90.01692307692308,0.71
A01_23,89.24255131964809,0.71
B51_14,89.68647928994082,0.71
B18_01,90.09671597633135,0.7
B15_27,89.87653846153846,0.71
C15_08,89.45494152046784,0.71
B55_03,90.00423076923077,0.71
B35_04,90.14139053254438,0.71
B39_01,89.92550295857988,0.71
B39_12,89.83964497041418,0.71
B15_12,90.04798816568048,0.71
B57_02,89.686775147929,0.71
B15_03,89.9842899408284,0.71
B39_10,89.78399408284024,0.71
A29_50,96.41977900552487,0.83
B40_08,89.58313609467456,0.71
B39_11,90.17899408284023,0.71
B35_44,90.21298816568047,0.71
B07_03,89.72180473372781,0.74
B13_02,89.57062130177516,0.74
C07_270,95.53889502762429,0.83
B37_01,90.19476331360947,0.71
A31_09,89.13161290322581,0.71
B15_21,89.83686390532544,0.71
B07_91,95.96491712707183,0.83
B07_02,89.96914201183432,0.71
B82_01,90.001449704142,0.71
C07_06,88.965,0.71
A02_36,89.31835777126099,0.71
B55_04,89.74538461538462,0.71
A24_07,88.90011730205279,0.71
C07_26,89.12143274853801,0.71
C07_172,88.96663742690059,0.71
A25_01,89.02046920821114,0.71
C16_04,88.97426900584796,0.71
C15_13,89.38959064327486,0.71
B55_02,89.6680473372781,0.71
B51_10,89.62748520710058,0.71
B27_09,89.70985207100591,0.71
C07_03,89.11868035190616,0.7
B15_06,89.87686390532544,0.71
B56_04,89.76011834319526,0.71
B73_01,89.8359587020649,0.71
C16_02,89.26321637426899,0.7
B15_25,89.87846153846154,0.71
B07_06,89.66230769230769,0.74
A30_15,95.4397237569061,0.83
A02_24,89.42870967741935,0.71
C03_05,89.3104970760234,0.71
B14_06,89.84263313609468,0.71
B08_03,96.25662983425413,0.83
B48_07,89.18171597633136,0.71
B15_10,89.98579881656805,0.71
A02_61,89.588357771261,0.71
B15_09,89.82508875739646,0.71
A24_17,89.12193548387097,0.71
B15_35,90.19207100591717,0.71
B39_05,90.00514792899408,0.71
B27_05,89.71159763313611,0.71
A02_34,89.16448680351907,0.71
B44_09,90.16849112426034,0.71
B39_20,89.85041420118343,0.71
B50_02,89.80902366863904,0.71
A24_13,95.92309392265194,0.82
C12_05,89.38488304093568,0.71
A24_25,88.96351906158358,0.7
C07_05,88.97555555555556,0.71
A29_10,89.50571847507332,0.71
A68_01,89.36527859237536,0.71
A11_06,95.75182320441988,0.83
B49_01,89.85547337278106,0.71
B48_02,89.86005917159764,0.71
A26_08,89.09730205278592,0.71
B35_28,89.92630177514793,0.71
B27_03,89.9878402366864,0.71
B51_61,96.13868131868132,0.81
B08_02,89.55424778761062,0.71
B35_17,89.79245562130178,0.71
A23_05,88.6108211143695,0.7
B51_04,89.82112426035503,0.71
A29_02,89.37853372434017,0.71
B39_08,90.16606508875739,0.71
B56_01,89.95647928994083,0.71
A74_03,89.29011730205279,0.71
B35_23,90.0065976331361,0.71
C04_10,89.1509649122807,0.71
B15_29,89.84050295857988,0.71
A34_01,89.28727272727272,0.71
B35_29,89.82931952662722,0.71
B40_03,90.00485207100591,0.71
C14_06,88.92219298245615,0.71
C07_14,96.27342541436462,0.83
A02_04,89.00445747800586,0.71
B35_01,89.83041420118343,0.71
C07_17,88.86038011695906,0.71
B54_01,89.71689349112425,0.71
A30_10,89.04785923753666,0.7
B27_04,90.01893491124261,0.71
C07_27,88.89301169590642,0.71
A02_240,96.39441988950276,0.83
A02_50,95.64254143646406,0.83
B08_01,90.10795857988167,0.71
B42_01,90.15502958579881,0.71
C01_57,95.9667403314917,0.83
C14_03,88.92444444444445,0.71
B67_01,89.86946745562129,0.71
B15_02,90.06828402366864,0.71
B27_14,89.97526627218934,0.71
A02_10,89.23105571847508,0.71
A68_05,89.32633431085044,0.71
A24_24,96.25303867403312,0.83
B15_36,96.03701657458566,0.83
A26_02,89.37237536656892,0.71
A26_16,89.19982404692082,0.71
B35_05,89.9012426035503,0.71
C01_44,89.22248538011695,0.71
A74_02,89.28208211143696,0.71
C07_248,95.56441988950274,0.83
A31_12,89.22504398826979,0.71
B53_05,89.79227810650887,0.71
B15_05,89.78168639053254,0.71
A11_03,89.12161290322581,0.71
A66_02,89.3050439882698,0.71
A31_03,96.19011049723758,0.83
C07_10,88.8133918128655,0.71
B44_02,89.86349112426036,0.71
B40_46,95.41436464088397,0.83
B51_12,95.55513812154693,0.83
C04_07,89.41497076023391,0.71
B15_01,89.94967455621303,0.71
C07_08,95.55812154696133,0.83
B15_30,90.00541420118344,0.71
A02_07,88.63554252199414,0.71
B42_18,96.66580110497236,0.83
B35_24,89.8459171597633,0.71
B48_03,89.36917159763313,0.71
B13_38,96.20904761904762,0.81
B58_02,89.69745562130177,0.71
B35_15,89.78508875739645,0.71
A26_14,89.22815249266861,0.71
B15_34,90.21650887573965,0.71
A03_01,89.0709090909091,0.71
B40_12,89.98470414201184,0.71
A24_10,89.22067448680352,0.71
A02_09,89.42117302052786,0.71
