Allele,pLDDT,pTM
DRA01_01_DRB108_11,92.87607142857144,0.88
DRA01_01_DRB113_02,83.78011904761904,0.82
DQA103_01_DQB103_02,93.8473372781065,0.88
DQA105_05_DQB103_02,92.23815476190477,0.87
DPA101_04_DPB118_01,93.30102409638555,0.88
DQA105_02_DQB102_01,92.75958333333334,0.86
DRA01_01_DRB114_06,92.42130952380953,0.86
DQA101_02_DQB104_01,84.46751479289941,0.82
DQA103_03_DQB103_03,93.81863905325444,0.88
DQA101_04_DQB103_22,92.47550295857988,0.87
DRA01_01_DRB108_03,94.0707738095238,0.89
DQA101_05_DQB105_02,91.81934911242604,0.87
DQA106_01_DQB106_09,93.57238095238094,0.88
DPA102_02_DPB1101_01,92.34891566265061,0.87
DQA104_02_DQB106_02,92.39392857142857,0.87
DPA103_02_DPB105_01,91.2248795180723,0.86
DPA101_03_DPB128_01,93.44873493975904,0.88
DQA104_02_DQB102_01,94.00523809523808,0.87
DQA105_03_DQB103_01,92.80886904761904,0.88
DRA01_01_DRB103_01,86.33011904761904,0.82
DQA102_01_DQB103_02,91.57928571428572,0.87
DRA01_01_DRB104_05,93.72767857142857,0.89
DPA101_03_DPB109_01,91.18307228915663,0.86
DPA101_05_DPB1105_01,92.66512048192772,0.87
DQA105_02_DQB106_02,92.93922619047619,0.87
DPA102_02_DPB105_01,92.75283132530122,0.88
DQA101_03_DQB105_01,88.15100591715976,0.84
DQA106_01_DQB105_02,94.84744047619047,0.89
DQA101_05_DQB106_09,92.25508875739644,0.87
DQA101_04_DQB104_02,92.78538461538463,0.88
DPA101_05_DPB104_02,92.66512048192772,0.87
DQA101_03_DQB103_03,88.97467455621302,0.85
DQA103_02_DQB104_01,93.9768047337278,0.88
DRA01_01_DRB111_03,93.21863095238095,0.88
DQA104_01_DQB106_09,92.89380952380952,0.87
DQA105_01_DQB105_02,92.95053571428572,0.87
DQA105_10_DQB102_02,94.13357142857141,0.87
DQA101_01_DQB103_02,90.8987573964497,0.86
DPA101_05_DPB135_01,93.16638554216868,0.88
DQA105_03_DQB105_03,94.83589285714285,0.89
DPA101_04_DPB101_01,89.02174698795181,0.83
DQA104_02_DQB103_19,95.50363095238096,0.9
DPA103_01_DPB102_02,90.67783132530121,0.85
DPA102_07_DPB102_01,92.96415662650602,0.88
DPA102_07_DPB1101_01,92.34891566265061,0.87
DQA105_03_DQB106_04,93.32172619047618,0.87
DQA105_01_DQB106_09,92.72059523809524,0.87
DPA101_05_DPB114_01,92.60638554216867,0.88
DQA104_01_DQB105_02,92.43511904761904,0.87
DQA103_03_DQB105_01,90.73165680473372,0.86
DPA102_07_DPB123_01,93.02837349397589,0.88
DPA101_03_DPB104_01,91.28204819277109,0.86
DPA102_01_DPB102_02,92.22596385542168,0.87
DQA101_04_DQB106_03,91.25603550295858,0.87
DQA105_10_DQB106_01,94.53,0.89
DPA101_04_DPB1188_01,92.06584337349398,0.87
DQA105_02_DQB103_19,93.11190476190475,0.89
DPA103_02_DPB122_01,91.48307228915662,0.86
DQA101_02_DQB106_02,92.17396449704142,0.87
DPA102_02_DPB117_01,92.56487951807229,0.87
DPA102_07_DPB128_01,93.80614457831325,0.89
DQA104_02_DQB104_01,92.38613095238095,0.88
DQA103_01_DQB106_09,89.12337278106509,0.85
DQA103_03_DQB106_04,90.88881656804733,0.86
DQA105_05_DQB106_09,92.72119047619047,0.87
DQA105_03_DQB105_01,92.30833333333334,0.87
DQA102_01_DQB105_02,93.73982142857142,0.88
DRA01_01_DRB111_01,93.16125,0.88
DQA101_03_DQB103_01,91.27254437869823,0.86
DQA106_01_DQB103_02,92.42886904761906,0.88
DQA101_04_DQB102_02,88.57520710059173,0.83
DQA103_02_DQB103_19,94.52976331360946,0.89
DPA104_01_DPB102_02,90.82367469879517,0.86
DPA102_02_DPB103_01,93.68867469879518,0.89
DQA102_01_DQB106_09,93.7982738095238,0.87
DQA103_01_DQB105_02,91.03041420118343,0.86
DQA105_05_DQB105_02,92.95053571428572,0.87
DQA105_02_DQB104_01,90.595,0.86
DRA01_01_DRB115_02,93.72875,0.88
DQA105_10_DQB106_03,92.45690476190477,0.88
DPA102_02_DPB122_01,91.03753012048192,0.86
DPA103_02_DPB117_01,92.25240963855423,0.87
DQA101_04_DQB106_01,89.53852071005919,0.84
DPA103_02_DPB103_01,93.90542168674699,0.88
DPA101_04_DPB1105_01,92.24457831325303,0.87
DPA102_07_DPB109_01,92.89319277108434,0.88
DRA01_01_DRB101_02,93.79904761904761,0.88
DQA103_03_DQB105_03,91.42508875739645,0.86
DQA101_02_DQB102_01,82.88076923076922,0.8
DQA101_05_DQB103_02,90.8994674556213,0.86
DPA101_03_DPB102_01,91.84210843373494,0.87
DQA104_01_DQB103_02,92.31958333333333,0.87
DQA103_03_DQB103_01,94.52976331360946,0.89
DRA01_01_DRB108_01,94.44976190476189,0.89
DPA102_01_DPB135_01,92.21801204819278,0.87
DQA105_10_DQB103_22,93.46339285714286,0.88
DQA101_02_DQB103_19,89.6308875739645,0.85
DPA103_01_DPB1101_01,88.92590361445784,0.84
DRA01_01_DRB114_08,91.5269642857143,0.87
DRA01_01_DRB114_04,90.33375,0.85
